step,total_samples,exp_samples,noexp_samples,overall_mean,exp_mean,noexp_mean,overall_std,exp_std,noexp_std,overall_median,exp_median,noexp_median,exp_minus_noexp,relative_gain,better_flag,exp_ratio
1,512,256,256,0.5634765624999999,0.5862890624999997,0.5406640624999998,0.43153485621746274,0.42622453168408053,0.4364203186683322,0.75,0.75,0.75,0.045624999999999916,0.0843869662596632,exp_better,0.5
2,256,128,128,0.5541406249999993,0.5307031250000002,0.5775781250000002,0.4153760919866689,0.4177935737016284,0.41324859745345066,0.75,0.75,0.75,-0.046875,-0.08115785202218312,noexp_better,0.5
3,256,128,128,0.5231250000000002,0.5339843750000003,0.5122656250000003,0.4189122234793253,0.42843303548590794,0.41056560725927005,0.75,0.75,0.75,0.02171875000000001,0.04239743785267652,exp_better,0.5
4,256,128,128,0.5126953124999999,0.5281250000000002,0.4972656250000001,0.44740226333004074,0.451685818617496,0.44431264236276896,0.75,0.75,0.35,0.030859375000000078,0.06205813040062858,exp_better,0.5
5,256,128,128,0.5719921875,0.5363281250000002,0.6076562500000002,0.41345736904444796,0.4180567551676908,0.40731400639205817,0.75,0.75,0.765,-0.07132812500000008,-0.11738236050398568,noexp_better,0.5
6,256,128,128,0.47746093749999985,0.4807031250000002,0.47421875000000024,0.39292492726745815,0.39101157643162343,0.3963387745510127,0.35,0.35,0.35,0.006484374999999931,0.013673805601317805,exp_better,0.5
7,256,128,128,0.5458593749999998,0.4975781250000001,0.5941406249999999,0.4157497877683303,0.4203611984419017,0.4070066016291198,0.75,0.55,0.75,-0.09656249999999977,-0.1625246548323468,noexp_better,0.5
8,256,128,128,0.5201171875,0.54640625,0.4938281250000002,0.43758470993637105,0.440139087492332,0.4351470402109277,0.75,0.75,0.735,0.05257812499999981,0.10647049517481369,exp_better,0.5
9,256,128,128,0.6213281249999995,0.6342187499999998,0.6084374999999999,0.38420352264616925,0.3805334204181258,0.3889040476360673,0.75,0.8,0.75,0.025781249999999978,0.042372881355932174,exp_better,0.5
10,256,128,128,0.6450781249999995,0.6393750000000004,0.6507812499999999,0.39463558984778574,0.401008080111811,0.38965078121211644,0.85,0.85,0.85,-0.011406249999999507,-0.017527010804320974,noexp_better,0.5
11,256,128,128,0.5774218749999996,0.5824218750000002,0.5724218750000003,0.43609181636889444,0.4387971139766669,0.43503596754868856,0.85,0.85,0.75,0.009999999999999898,0.017469632864746638,exp_better,0.5
12,256,128,128,0.6521093749999998,0.6709375000000001,0.6332812500000001,0.3924826007758366,0.38765484587137444,0.3978784473407271,0.85,0.85,0.85,0.03765624999999995,0.05946212681963968,exp_better,0.5
13,256,127,129,0.6017578124999997,0.6362204724409448,0.5678294573643412,0.42225124471600517,0.4199715204513888,0.42336811929806967,0.75,0.85,0.75,0.06839101507660361,0.12044287979360907,exp_better,0.49609375
14,256,128,128,0.5894531249999997,0.62203125,0.5568750000000001,0.43472111157952886,0.4301681769181338,0.43848477469325575,0.85,0.85,0.75,0.06515624999999992,0.11700336700336683,exp_better,0.5
15,256,128,128,0.6857421874999996,0.6920312500000003,0.679453125,0.40929810309067816,0.4096212181062337,0.41048714787778023,0.9,0.9,0.885,0.012578125000000329,0.018512130619754423,exp_better,0.5
16,256,128,128,0.5815234374999998,0.5828125,0.580234375,0.4203308960731146,0.4219339379944401,0.4203756566064724,0.75,0.765,0.75,0.0025781249999999867,0.004443247610071339,exp_better,0.5
17,256,128,128,0.6835156249999988,0.6614843749999999,0.7055468749999998,0.3748423770040405,0.3856441382009328,0.3638958243972848,0.85,0.85,0.85,-0.04406249999999989,-0.06245155575240824,noexp_better,0.5
18,256,128,128,0.6762890624999992,0.6699218750000002,0.6826562499999999,0.3674307970557177,0.3666028254715187,0.3695868823195396,0.85,0.85,0.85,-0.012734374999999631,-0.01865415426871084,noexp_better,0.5
19,256,128,128,0.6097265624999997,0.6016406249999998,0.6178125000000001,0.41232711580603276,0.4139207146563862,0.41219393321915493,0.75,0.8,0.75,-0.01617187500000028,-0.026176024279211375,noexp_better,0.5
20,256,128,128,0.6635937499999995,0.6687500000000002,0.6584374999999999,0.3873109595812707,0.3912085051327348,0.3848415923222207,0.85,0.85,0.85,0.01031250000000028,0.015662078785002802,exp_better,0.5
21,256,128,128,0.6914843749999993,0.6892187499999999,0.6937500000000001,0.39656780414490755,0.40615076013794427,0.38833178443587335,0.865,0.89,0.85,-0.004531250000000209,-0.006531531531531832,noexp_better,0.5
22,256,128,128,0.5987109374999997,0.6002343750000001,0.5971875,0.43234098112292496,0.4312670671619894,0.4351014679377384,0.85,0.85,0.85,0.0030468750000001155,0.0051020408163267245,exp_better,0.5
23,256,128,128,0.7018359374999992,0.7029687499999998,0.7007031250000001,0.3580154291196751,0.35774965815970505,0.3596831142371335,0.85,0.85,0.85,0.0022656249999997158,0.0032333593488679184,exp_better,0.5
24,256,128,128,0.6867968749999995,0.6685937500000001,0.7049999999999998,0.4019158698304518,0.41124878838105033,0.3931299799078699,0.88,0.89,0.88,-0.03640624999999975,-0.05164007092198548,noexp_better,0.5
25,256,127,129,0.5382031249999996,0.5148818897637798,0.5611627906976744,0.4325336819594651,0.432669576154522,0.43285142497703666,0.75,0.75,0.85,-0.046280900933894586,-0.08247321757801357,noexp_better,0.49609375
26,256,128,128,0.6361718749999997,0.6507812500000002,0.6215625000000002,0.38774586602263994,0.39183318275796425,0.3845959890627431,0.825,0.85,0.75,0.02921874999999996,0.047008547008546925,exp_better,0.5
27,256,128,128,0.7665624999999995,0.7676562499999999,0.76546875,0.36665405504157644,0.3639989711307602,0.37071724347040996,1.0,0.985,1.0,0.002187499999999898,0.002857726066544059,exp_better,0.5
28,256,128,128,0.6765234374999993,0.6585937500000001,0.6944531250000002,0.3924543478352659,0.40348430166849536,0.38184551560209934,0.85,0.85,0.88,-0.03585937500000014,-0.05163685453931844,noexp_better,0.5
29,256,128,128,0.7877734374999995,0.780625,0.7949218750000001,0.33907388783171394,0.34617084216973554,0.3330318754547342,0.95,0.95,0.95,-0.014296875000000098,-0.017985257985258105,noexp_better,0.5
30,256,128,128,0.6905468749999994,0.6720312500000002,0.7090624999999999,0.4087835778017412,0.41790131709145356,0.4002389788082619,0.9,0.89,0.9,-0.03703124999999974,-0.052225650066108055,noexp_better,0.5
