step,total_samples,exp_samples,noexp_samples,overall_mean,exp_mean,noexp_mean,overall_std,exp_std,noexp_std,overall_median,exp_median,noexp_median,exp_minus_noexp,relative_gain,better_flag,exp_ratio
1,512,256,256,0.41796875,0.39453125,0.44140625,0.49370734476009037,0.48970717040400585,0.497527588160086,0.0,0.0,0.0,-0.046875,-0.10619469026548672,noexp_better,0.5
2,256,128,128,0.3828125,0.3515625,0.4140625,0.4870252842009133,0.47933424548809134,0.49449479110016603,0.0,0.0,0.0,-0.0625,-0.1509433962264151,noexp_better,0.5
3,256,128,128,0.375,0.3671875,0.3828125,0.48507125007266594,0.48393228116742276,0.4879830536298584,0.0,0.0,0.0,-0.015625,-0.04081632653061224,noexp_better,0.5
4,256,128,128,0.44140625,0.4140625,0.46875,0.497527588160086,0.49449479110016603,0.5009832851188789,0.0,0.0,0.0,-0.0546875,-0.11666666666666667,noexp_better,0.5
5,256,128,128,0.36328125,0.328125,0.3984375,0.4818869924882926,0.4713755210973134,0.4915000941197113,0.0,0.0,0.0,-0.0703125,-0.17647058823529413,noexp_better,0.5
6,256,128,128,0.43359375,0.4375,0.4296875,0.49654134653977144,0.4980276057238114,0.49697658732223665,0.0,0.0,0.0,0.0078125,0.01818181818181818,exp_better,0.5
7,256,128,128,0.48828125,0.5,0.4765625,0.5008418158558687,0.5019646441105269,0.5014128660143499,0.0,0.5,0.0,0.0234375,0.04918032786885246,exp_better,0.5
8,256,128,128,0.44140625,0.4453125,0.4375,0.497527588160086,0.4989531363599838,0.4980276057238114,0.0,0.0,0.0,0.0078125,0.017857142857142856,exp_better,0.5
9,256,128,128,0.5078125,0.5,0.515625,0.5009182744191499,0.5019646441105269,0.5017194843185601,1.0,0.5,1.0,-0.015625,-0.030303030303030304,noexp_better,0.5
10,256,128,128,0.609375,0.5625,0.65625,0.4888461805469018,0.4980276057238114,0.47682513013096267,1.0,1.0,1.0,-0.09375,-0.14285714285714285,noexp_better,0.5
11,256,128,128,0.45703125,0.4609375,0.453125,0.4991260744894962,0.5004304249705652,0.49975387643106284,0.0,0.0,0.0,0.0078125,0.017241379310344827,exp_better,0.5
12,256,128,128,0.484375,0.4609375,0.5078125,0.5007347542538335,0.5004304249705652,0.5019033653891717,0.0,0.0,1.0,-0.046875,-0.09230769230769231,noexp_better,0.5
13,256,128,128,0.55859375,0.5,0.6171875,0.497527588160086,0.5019646441105269,0.4879830536298584,1.0,0.5,1.0,-0.1171875,-0.189873417721519,noexp_better,0.5
14,256,128,128,0.5234375,0.5,0.546875,0.500428737752567,0.5019646441105269,0.49975387643106284,1.0,0.5,1.0,-0.046875,-0.08571428571428572,noexp_better,0.5
15,256,128,128,0.5078125,0.515625,0.5,0.5009182744191499,0.5017194843185601,0.5019646441105269,1.0,1.0,0.5,0.015625,0.03125,exp_better,0.5
16,256,127,129,0.6015625,0.5590551181102362,0.6434108527131783,0.4905354217587146,0.4984665900362102,0.4808594131279937,1.0,1.0,1.0,-0.0843557346029421,-0.1311071055877052,noexp_better,0.49609375
17,256,128,128,0.49609375,0.484375,0.5078125,0.5009641439558442,0.5017194843185601,0.5019033653891717,0.0,0.0,1.0,-0.0234375,-0.046153846153846156,noexp_better,0.5
18,256,128,128,0.625,0.625,0.625,0.48507125007266594,0.48602517675625084,0.48602517675625084,1.0,1.0,1.0,0.0,0.0,tie,0.5
19,256,128,128,0.6171875,0.6015625,0.6328125,0.4870252842009133,0.4915000941197113,0.48393228116742276,1.0,1.0,1.0,-0.03125,-0.04938271604938271,noexp_better,0.5
20,256,128,128,0.55859375,0.53125,0.5859375,0.497527588160086,0.5009832851188789,0.49449479110016603,1.0,1.0,1.0,-0.0546875,-0.09333333333333334,noexp_better,0.5
21,256,128,128,0.5703125,0.546875,0.59375,0.4960011661909124,0.49975387643106284,0.49306210178888465,1.0,1.0,1.0,-0.046875,-0.07894736842105263,noexp_better,0.5
22,256,128,128,0.640625,0.609375,0.671875,0.4807571642527984,0.48980753089640694,0.4713755210973134,1.0,1.0,1.0,-0.0625,-0.09302325581395349,noexp_better,0.5
23,256,128,128,0.53515625,0.5390625,0.53125,0.49973951548114875,0.5004304249705652,0.5009832851188789,1.0,1.0,1.0,0.0078125,0.014705882352941176,exp_better,0.5
24,256,128,128,0.71484375,0.7109375,0.71875,0.45237323541258173,0.45510825483839257,0.4513758494650716,1.0,1.0,1.0,-0.0078125,-0.010869565217391304,noexp_better,0.5
25,256,128,128,0.61328125,0.6171875,0.609375,0.487952278886561,0.4879830536298584,0.48980753089640694,1.0,1.0,1.0,0.0078125,0.01282051282051282,exp_better,0.5
26,256,128,128,0.59765625,0.578125,0.6171875,0.49133110017583864,0.4957992831114808,0.4879830536298584,1.0,1.0,1.0,-0.0390625,-0.06329113924050633,noexp_better,0.5
27,256,128,128,0.78125,0.7421875,0.8203125,0.414208434789757,0.43914902946350703,0.3854355088676483,1.0,1.0,1.0,-0.078125,-0.09523809523809523,noexp_better,0.5
28,256,128,128,0.6640625,0.65625,0.671875,0.4732423621500228,0.47682513013096267,0.4713755210973134,1.0,1.0,1.0,-0.015625,-0.023255813953488372,noexp_better,0.5
29,256,128,128,0.62890625,0.625,0.6328125,0.48404380676003395,0.48602517675625084,0.48393228116742276,1.0,1.0,1.0,-0.0078125,-0.012345679012345678,noexp_better,0.5
30,256,128,128,0.6796875,0.6484375,0.7109375,0.4675106164255398,0.47933424548809134,0.45510825483839257,1.0,1.0,1.0,-0.0625,-0.08791208791208792,noexp_better,0.5
31,256,128,128,0.63671875,0.6328125,0.640625,0.4818869924882926,0.48393228116742276,0.4817026069836068,1.0,1.0,1.0,-0.0078125,-0.012195121951219513,noexp_better,0.5
32,256,128,128,0.71484375,0.703125,0.7265625,0.45237323541258173,0.4586762019853619,0.4474748706268539,1.0,1.0,1.0,-0.0234375,-0.03225806451612903,noexp_better,0.5
33,256,128,128,0.6640625,0.6484375,0.6796875,0.4732423621500228,0.47933424548809134,0.46843000888963815,1.0,1.0,1.0,-0.03125,-0.04597701149425287,noexp_better,0.5
34,256,128,128,0.69921875,0.6640625,0.734375,0.45949607414738897,0.47417302649467324,0.4434008690887529,1.0,1.0,1.0,-0.0703125,-0.09574468085106383,noexp_better,0.5
35,256,128,128,0.58203125,0.5546875,0.609375,0.4941911345329663,0.4989531363599838,0.48980753089640694,1.0,1.0,1.0,-0.0546875,-0.08974358974358974,noexp_better,0.5
36,256,128,128,0.7265625,0.6953125,0.7578125,0.4465966070311828,0.4620835004815935,0.4300905187640256,1.0,1.0,1.0,-0.0625,-0.08247422680412371,noexp_better,0.5
37,256,128,128,0.703125,0.71875,0.6875,0.4577759534198053,0.4513758494650716,0.4653336792785003,1.0,1.0,1.0,0.03125,0.045454545454545456,exp_better,0.5
38,256,128,128,0.71484375,0.7109375,0.71875,0.45237323541258173,0.45510825483839257,0.4513758494650716,1.0,1.0,1.0,-0.0078125,-0.010869565217391304,noexp_better,0.5
39,256,128,128,0.69921875,0.703125,0.6953125,0.45949607414738897,0.4586762019853619,0.4620835004815935,1.0,1.0,1.0,0.0078125,0.011235955056179775,exp_better,0.5
40,256,128,128,0.75390625,0.7578125,0.75,0.4315775610205778,0.4300905187640256,0.43471413360133104,1.0,1.0,1.0,0.0078125,0.010416666666666666,exp_better,0.5
41,256,128,128,0.76953125,0.75,0.7890625,0.4219578259290199,0.43471413360133104,0.4095771537596912,1.0,1.0,1.0,-0.0390625,-0.04950495049504951,noexp_better,0.5
42,256,128,128,0.69140625,0.65625,0.7265625,0.46281785579972906,0.47682513013096267,0.4474748706268539,1.0,1.0,1.0,-0.0703125,-0.0967741935483871,noexp_better,0.5
